,Insulation thickness (m),Window U-value (W/m2K),Window SHGC (ratio),Shading control (W/m2),Thermostat settings offset (C),Heating energy (kWh),Cooling energy (kWh),Total energy (kWh)
0,0.001,2.4,0.2,0,3,5071.735860318707,340.4,5412.2
1,0.001,2.4,0.2,0,2,4756.255379982145,458.6,5214.9
2,0.001,2.4,0.2,0,1,4440.585645395849,591.6,5032.2
3,0.001,2.4,0.2,0,0,4127.026670340054,728.0,4855.0
4,0.001,2.4,0.2,0,-1,3816.347624301675,863.0,4679.4
5,0.001,2.4,0.2,0,-2,3509.471599495564,993.7,4503.2
6,0.001,2.4,0.2,0,-3,3207.113379778115,1109.4,4316.5
7,0.001,2.4,0.2,200,3,5017.520532652835,406.3,5423.8
8,0.001,2.4,0.2,200,2,4702.3103982971625,540.9,5243.2
9,0.001,2.4,0.2,200,1,4387.596655427404,682.6,5070.2
10,0.001,2.4,0.2,200,0,4075.370721529147,826.9,4902.2
11,0.001,2.4,0.2,200,-1,3765.7765503154055,972.1,4737.9
12,0.001,2.4,0.2,200,-2,3460.1455450122917,1111.9,4572.1
13,0.001,2.4,0.2,200,-3,3159.5298622864184,1235.3,4394.8
14,0.001,2.4,0.2,400,3,4922.540510492512,543.2,5465.7
15,0.001,2.4,0.2,400,2,4609.003291496925,686.5,5295.5
16,0.001,2.4,0.2,400,1,4296.217763975861,834.7,5130.9
17,0.001,2.4,0.2,400,0,3985.571800733239,987.4,4973.0
18,0.001,2.4,0.2,400,-1,3677.2241358239967,1137.3,4814.6
19,0.001,2.4,0.2,400,-2,3373.591324816127,1278.4,4652.0
20,0.001,2.4,0.2,400,-3,3075.986526419867,1399.7,4475.7
21,0.001,2.4,0.2,600,3,4797.880367686972,733.0,5530.8
22,0.001,2.4,0.2,600,2,4488.869224222327,884.7,5373.5
23,0.001,2.4,0.2,600,1,4179.596928024619,1037.7,5217.3
24,0.001,2.4,0.2,600,0,3872.333594792747,1190.8,5063.2
25,0.001,2.4,0.2,600,-1,3568.0058765504923,1342.1,4910.1
26,0.001,2.4,0.2,600,-2,3269.43771661665,1486.6,4756.0
27,0.001,2.4,0.2,600,-3,2978.0691171364833,1610.8,4588.9
28,0.001,2.4,0.2,800,3,4701.131152659603,846.0,5547.1
29,0.001,2.4,0.2,800,2,4394.941166719622,998.0,5392.9
30,0.001,2.4,0.2,800,1,4089.5518455102856,1152.2,5241.7
31,0.001,2.4,0.2,800,0,3786.2315999286247,1307.6,5093.8
32,0.001,2.4,0.2,800,-1,3486.280151274432,1463.3,4949.6
33,0.001,2.4,0.2,800,-2,3191.685969343861,1606.9,4798.6
34,0.001,2.4,0.2,800,-3,2903.0346143806473,1731.6,4634.6
35,0.001,2.4,0.2,1000,3,4696.673365433375,846.6,5543.2
36,0.001,2.4,0.2,1000,2,4390.679127115472,998.6,5389.3
37,0.001,2.4,0.2,1000,1,4085.3115485124777,1152.7,5238.1
38,0.001,2.4,0.2,1000,0,3782.0362378233585,1308.2,5090.2
39,0.001,2.4,0.2,1000,-1,3482.322516592616,1463.9,4946.3
40,0.001,2.4,0.2,1000,-2,3187.944309398323,1607.5,4795.4
41,0.001,2.4,0.2,1000,-3,2899.524249764124,1732.2,4631.7
42,0.001,2.4,0.32,0,3,5028.549379462201,388.0,5416.6
43,0.001,2.4,0.32,0,2,4713.879310297708,515.0,5228.9
44,0.001,2.4,0.32,0,1,4399.441990554405,652.4,5051.9
45,0.001,2.4,0.32,0,0,4087.046504981428,790.5,4877.5
46,0.001,2.4,0.32,0,-1,3777.26332121806,929.1,4706.3
47,0.001,2.4,0.32,0,-2,3471.576511014023,1062.2,4533.8
48,0.001,2.4,0.32,0,-3,3170.9465620589754,1180.4,4351.4
49,0.001,2.4,0.32,200,3,4868.163160941969,550.2,5418.4
50,0.001,2.4,0.32,200,2,4555.393332812493,698.8,5254.2
51,0.001,2.4,0.32,200,1,4244.351349658706,852.6,5096.9
52,0.001,2.4,0.32,200,0,3935.6194809041967,1012.2,4947.8
53,0.001,2.4,0.32,200,-1,3629.1639866684823,1172.2,4801.4
54,0.001,2.4,0.32,200,-2,3327.41985607296,1320.5,4647.9
55,0.001,2.4,0.32,200,-3,3032.1628189953744,1446.4,4478.6
56,0.001,2.4,0.32,400,3,4704.324432590545,820.2,5524.5
57,0.001,2.4,0.32,400,2,4395.288364598296,981.9,5377.2
58,0.001,2.4,0.32,400,1,4087.8478846343824,1153.1,5241.0
59,0.001,2.4,0.32,400,0,3781.5720157762,1322.5,5104.0
60,0.001,2.4,0.32,400,-1,3478.794796345831,1484.8,4963.6
61,0.001,2.4,0.32,400,-2,3181.616499888975,1629.6,4811.2
62,0.001,2.4,0.32,400,-3,2891.3328815465034,1753.7,4645.1
63,0.001,2.4,0.32,600,3,4507.228814736633,1177.7,5684.9
64,0.001,2.4,0.32,600,2,4204.090648358803,1347.4,5551.4
65,0.001,2.4,0.32,600,1,3902.0439281667336,1530.8,5432.8
66,0.001,2.4,0.32,600,0,3602.996435025997,1706.4,5309.4
67,0.001,2.4,0.32,600,-1,3308.1262805923934,1870.6,5178.7
68,0.001,2.4,0.32,600,-2,3019.51934272378,2014.9,5034.4
69,0.001,2.4,0.32,600,-3,2736.657617864394,2135.8,4872.5
70,0.001,2.4,0.32,800,3,4359.604841513565,1374.5,5734.1
71,0.001,2.4,0.32,800,2,4061.838547240688,1553.2,5615.0
72,0.001,2.4,0.32,800,1,3766.7137296412498,1736.9,5503.6
73,0.001,2.4,0.32,800,0,3473.31815130627,1911.2,5384.5
74,0.001,2.4,0.32,800,-1,3184.638955252702,2074.9,5259.6
75,0.001,2.4,0.32,800,-2,2903.2938098587692,2219.5,5122.8
76,0.001,2.4,0.32,800,-3,2628.6320860989167,2341.0,4969.6
77,0.001,2.4,0.32,1000,3,4352.643978294814,1375.6,5728.2
