,insulation_thickness,u_values,annual_energy_use
0,0.02,1.25,1974.3
1,0.02,1.2,1925.3
2,0.02,1.15,1875.9
3,0.02,1.1,1825.9
4,0.02,1.05,1775.6
5,0.02,1.0,1724.7
6,0.02,0.95,1673.3
7,0.02,0.9,1621.4
8,0.02,0.85,1568.8
9,0.02,0.8,1515.8
10,0.02,0.75,1462.3
11,0.02,0.7,1408.2
12,0.02,0.65,1353.5
13,0.02,0.6,1298.3
14,0.02,0.55,1242.7
15,0.02,0.5,1187.0
16,0.02,0.45,1131.1
17,0.02,0.4,1074.6
18,0.02,0.35,1017.7
19,0.02,0.3,960.7
20,0.02,0.25,903.4
21,0.04,1.25,1694.5
22,0.04,1.2,1645.8
23,0.04,1.15,1596.6
24,0.04,1.1,1547.1
25,0.04,1.05,1497.0
26,0.04,1.0,1446.5
27,0.04,0.95,1395.7
28,0.04,0.9,1344.2
29,0.04,0.85,1292.4
30,0.04,0.8,1240.3
31,0.04,0.75,1187.8
32,0.04,0.7,1135.0
33,0.04,0.65,1082.0
34,0.04,0.6,1028.7
35,0.04,0.55,975.1
36,0.04,0.5,921.1
37,0.04,0.45,866.8
38,0.04,0.4,812.4
39,0.04,0.35,757.9
40,0.04,0.3,703.4
41,0.04,0.25,648.8
42,0.06,1.25,1561.1
43,0.06,1.2,1512.7
44,0.06,1.15,1463.7
45,0.06,1.1,1414.4
46,0.06,1.05,1364.7
47,0.06,1.0,1314.4
48,0.06,0.95,1263.9
49,0.06,0.9,1213.1
50,0.06,0.85,1162.0
51,0.06,0.8,1110.6
52,0.06,0.75,1058.9
53,0.06,0.7,1007.0
54,0.06,0.65,955.0
55,0.06,0.6,902.4
56,0.06,0.55,849.7
57,0.06,0.5,796.8
58,0.06,0.45,743.6
59,0.06,0.4,690.4
60,0.06,0.35,637.1
61,0.06,0.3,583.9
62,0.06,0.25,531.0
63,0.08,1.25,1483.1
64,0.08,1.2,1434.8
65,0.08,1.15,1386.0
66,0.08,1.1,1336.9
67,0.08,1.05,1287.2
68,0.08,1.0,1237.3
69,0.08,0.95,1187.3
70,0.08,0.9,1137.0
71,0.08,0.85,1086.2
72,0.08,0.8,1035.1
73,0.08,0.75,984.1
74,0.08,0.7,932.8
75,0.08,0.65,881.0
76,0.08,0.6,829.2
77,0.08,0.55,777.0
78,0.08,0.5,724.6
79,0.08,0.45,672.2
80,0.08,0.4,619.8
81,0.08,0.35,567.3
82,0.08,0.3,515.2
83,0.08,0.25,462.9
84,0.1,1.25,1431.7
85,0.1,1.2,1383.5
86,0.1,1.15,1334.9
87,0.1,1.1,1285.8
88,0.1,1.05,1236.4
89,0.1,1.0,1186.9
90,0.1,0.95,1137.1
91,0.1,0.9,1086.9
92,0.1,0.85,1036.3
93,0.1,0.8,985.8
94,0.1,0.75,935.1
95,0.1,0.7,884.0
96,0.1,0.65,832.8
97,0.1,0.6,781.2
98,0.1,0.55,729.4
99,0.1,0.5,677.5
100,0.1,0.45,625.6
101,0.1,0.4,573.6
102,0.1,0.35,521.9
103,0.1,0.3,470.1
104,0.1,0.25,418.9
105,0.12,1.25,1395.5
106,0.12,1.2,1347.3
107,0.12,1.15,1298.8
108,0.12,1.1,1249.8
109,0.12,1.05,1200.8
110,0.12,1.0,1151.5
111,0.12,0.95,1101.7
112,0.12,0.9,1051.6
113,0.12,0.85,1001.4
114,0.12,0.8,951.2
115,0.12,0.75,900.6
116,0.12,0.7,849.9
117,0.12,0.65,798.7
118,0.12,0.6,747.4
119,0.12,0.55,695.9
120,0.12,0.5,644.3
121,0.12,0.45,592.7
122,0.12,0.4,541.3
123,0.12,0.35,489.9
124,0.12,0.3,438.6
125,0.12,0.25,388.2
126,0.14,1.25,1368.5
127,0.14,1.2,1320.4
128,0.14,1.15,1272.0
129,0.14,1.1,1223.2
130,0.14,1.05,1174.3
131,0.14,1.0,1125.0
132,0.14,0.95,1075.3
133,0.14,0.9,1025.5
134,0.14,0.85,975.5
135,0.14,0.8,925.4
136,0.14,0.75,875.1
137,0.14,0.7,824.4
138,0.14,0.65,773.5
139,0.14,0.6,722.4
140,0.14,0.55,671.1
141,0.14,0.5,619.8
142,0.14,0.45,568.4
143,0.14,0.4,517.4
144,0.14,0.35,466.2
145,0.14,0.3,415.6
146,0.14,0.25,365.5
147,0.16,1.25,1347.7
148,0.16,1.2,1299.6
149,0.16,1.15,1251.3
150,0.16,1.1,1202.7
151,0.16,1.05,1153.8
152,0.16,1.0,1104.6
153,0.16,0.95,1055.0
154,0.16,0.9,1005.3
155,0.16,0.85,955.5
156,0.16,0.8,905.5
157,0.16,0.75,855.4
158,0.16,0.7,804.7
159,0.16,0.65,754.0
160,0.16,0.6,703.1
161,0.16,0.55,651.9
162,0.16,0.5,600.8
163,0.16,0.45,549.7
164,0.16,0.4,498.9
165,0.16,0.35,447.9
166,0.16,0.3,397.8
167,0.16,0.25,347.9
168,0.18,1.25,1331.1
169,0.18,1.2,1283.1
170,0.18,1.15,1234.8
171,0.18,1.1,1186.3
172,0.18,1.05,1137.5
173,0.18,1.0,1088.3
174,0.18,0.95,1038.9
175,0.18,0.9,989.2
176,0.18,0.85,939.6
177,0.18,0.8,889.8
178,0.18,0.75,839.6
179,0.18,0.7,789.1
180,0.18,0.65,738.5
181,0.18,0.6,687.6
182,0.18,0.55,636.6
183,0.18,0.5,585.7
184,0.18,0.45,534.9
185,0.18,0.4,484.2
186,0.18,0.35,433.4
187,0.18,0.3,383.6
188,0.18,0.25,334.0
189,0.2,1.25,1317.6
190,0.2,1.2,1269.7
191,0.2,1.15,1221.4
192,0.2,1.1,1173.0
193,0.2,1.05,1124.3
194,0.2,1.0,1075.1
195,0.2,0.95,1025.8
196,0.2,0.9,976.2
197,0.2,0.85,926.7
198,0.2,0.8,876.9
199,0.2,0.75,826.8
200,0.2,0.7,776.4
201,0.2,0.65,725.9
202,0.2,0.6,675.1
203,0.2,0.55,624.3
204,0.2,0.5,573.5
205,0.2,0.45,522.9
206,0.2,0.4,472.3
207,0.2,0.35,421.9
208,0.2,0.3,372.2
209,0.2,0.25,322.7
210,0.22,1.25,1306.4
211,0.22,1.2,1258.6
212,0.22,1.15,1210.4
213,0.22,1.1,1162.0
214,0.22,1.05,1113.2
215,0.22,1.0,1064.1
216,0.22,0.95,1014.9
217,0.22,0.9,965.4
218,0.22,0.85,916.0
219,0.22,0.8,866.3
220,0.22,0.75,816.2
221,0.22,0.7,765.9
222,0.22,0.65,715.5
223,0.22,0.6,664.8
224,0.22,0.55,614.1
225,0.22,0.5,563.3
226,0.22,0.45,512.8
227,0.22,0.4,462.3
228,0.22,0.35,412.3
229,0.22,0.3,362.7
230,0.22,0.25,313.3
231,0.24,1.25,1296.9
232,0.24,1.2,1249.1
233,0.24,1.15,1200.9
234,0.24,1.1,1152.7
235,0.24,1.05,1103.8
236,0.24,1.0,1054.8
237,0.24,0.95,1005.6
238,0.24,0.9,956.3
239,0.24,0.85,906.9
240,0.24,0.8,857.2
241,0.24,0.75,807.2
242,0.24,0.7,757.0
243,0.24,0.65,706.6
244,0.24,0.6,656.0
245,0.24,0.55,605.4
246,0.24,0.5,554.8
247,0.24,0.45,504.3
248,0.24,0.4,454.0
249,0.24,0.35,404.1
250,0.24,0.3,354.7
251,0.24,0.25,305.4
252,0.26,1.25,1288.9
253,0.26,1.2,1241.1
254,0.26,1.15,1193.0
255,0.26,1.1,1144.7
256,0.26,1.05,1095.9
257,0.26,1.0,1046.9
258,0.26,0.95,997.7
259,0.26,0.9,948.5
