,Insulation thickness (m),Window U-value (W/m2K),Window SHGC (ratio),Shading control (W/m2),Thermostat settings offset (C),Heating energy (kWh),Cooling energy (kWh),Total energy (kWh)
0,0.001,1.25,0.2,0,3,3903.2,379.8,4283.0
1,0.001,1.25,0.2,0,2,3643.4,498.2,4141.6
2,0.001,1.25,0.2,0,1,3385.4,623.3,4008.7
3,0.001,1.25,0.2,0,0,3130.1,752.8,3882.9
4,0.001,1.25,0.2,0,-1,2877.4,884.2,3761.6
5,0.001,1.25,0.2,0,-2,2629.9,1012.5,3642.4
6,0.001,1.25,0.2,0,-3,2388.2,1129.9,3518.1
7,0.001,1.25,0.2,200,3,3790.6,498.4,4289.0
8,0.001,1.25,0.2,200,2,3532.4,628.4,4160.8
9,0.001,1.25,0.2,200,1,3276.6,765.8,4042.4
10,0.001,1.25,0.2,200,0,3023.3,909.3,3932.7
11,0.001,1.25,0.2,200,-1,2773.2,1054.0,3827.1
12,0.001,1.25,0.2,200,-2,2529.2,1191.3,3720.6
13,0.001,1.25,0.2,200,-3,2290.7,1309.4,3600.1
14,0.001,1.25,0.2,400,3,3679.9,672.0,4351.9
15,0.001,1.25,0.2,400,2,3423.9,811.8,4235.8
16,0.001,1.25,0.2,400,1,3170.1,960.6,4130.6
17,0.001,1.25,0.2,400,0,2918.3,1111.7,4030.0
18,0.001,1.25,0.2,400,-1,2671.0,1261.6,3932.7
19,0.001,1.25,0.2,400,-2,2430.8,1396.6,3827.4
20,0.001,1.25,0.2,400,-3,2195.3,1512.5,3707.8
21,0.001,1.25,0.2,600,3,3546.1,895.2,4441.3
22,0.001,1.25,0.2,600,2,3293.9,1041.8,4335.7
23,0.001,1.25,0.2,600,1,3044.0,1194.7,4238.7
24,0.001,1.25,0.2,600,0,2798.3,1353.5,4151.8
25,0.001,1.25,0.2,600,-1,2558.2,1506.8,4065.0
26,0.001,1.25,0.2,600,-2,2323.0,1641.7,3964.7
27,0.001,1.25,0.2,600,-3,2094.1,1754.7,3848.8
28,0.001,1.25,0.2,800,3,3445.0,1018.1,4463.1
29,0.001,1.25,0.2,800,2,3198.7,1167.7,4366.4
30,0.001,1.25,0.2,800,1,2954.6,1326.4,4281.0
31,0.001,1.25,0.2,800,0,2713.2,1485.9,4199.1
32,0.001,1.25,0.2,800,-1,2476.6,1638.5,4115.1
33,0.001,1.25,0.2,800,-2,2246.8,1772.1,4018.9
34,0.001,1.25,0.2,800,-3,2025.8,1885.0,3910.7
35,0.001,1.25,0.2,1000,3,3440.3,1018.8,4459.1
36,0.001,1.25,0.2,1000,2,3194.4,1168.3,4362.7
37,0.001,1.25,0.2,1000,1,2950.3,1327.1,4277.4
38,0.001,1.25,0.2,1000,0,2709.1,1486.5,4195.6
39,0.001,1.25,0.2,1000,-1,2472.6,1639.1,4111.7
40,0.001,1.25,0.2,1000,-2,2243.3,1772.8,4016.0
41,0.001,1.25,0.2,1000,-3,2022.9,1885.6,3908.6
42,0.001,1.25,0.32,0,3,3858.7,437.7,4296.4
43,0.001,1.25,0.32,0,2,3600.0,560.9,4160.9
44,0.001,1.25,0.32,0,1,3342.9,689.8,4032.7
45,0.001,1.25,0.32,0,0,3088.7,822.4,3911.1
46,0.001,1.25,0.32,0,-1,2837.4,958.3,3795.7
47,0.001,1.25,0.32,0,-2,2591.6,1090.1,3681.6
48,0.001,1.25,0.32,0,-3,2351.3,1207.7,3559.0
49,0.001,1.25,0.32,200,3,3644.3,667.2,4311.5
50,0.001,1.25,0.32,200,2,3389.7,812.2,4201.9
51,0.001,1.25,0.32,200,1,3136.8,967.3,4104.1
52,0.001,1.25,0.32,200,0,2886.3,1125.2,4011.5
53,0.001,1.25,0.32,200,-1,2641.0,1279.3,3920.3
54,0.001,1.25,0.32,200,-2,2402.1,1419.9,3822.1
55,0.001,1.25,0.32,200,-3,2167.2,1538.8,3706.0
56,0.001,1.25,0.32,400,3,3467.7,994.3,4462.1
57,0.001,1.25,0.32,400,2,3216.1,1157.5,4373.6
58,0.001,1.25,0.32,400,1,2966.8,1324.6,4291.4
59,0.001,1.25,0.32,400,0,2721.5,1488.3,4209.8
60,0.001,1.25,0.32,400,-1,2482.3,1644.4,4126.7
61,0.001,1.25,0.32,400,-2,2248.0,1780.8,4028.8
