,Insulation thickness (m),Wall U-value (W/m2K),Window U-value (W/m2K),Window SHGC (ratio),Shading control (W/m2),Thermostat settings offset (C),Heating energy (kWh),Cooling energy (kWh),Total energy (kWh),Heating energy (kWh/m2),Cooling energy (kWh/m2),Total energy (kWh/m2)
0,0.001,2.84,2.4,0.2,0,3,5071.7,340.4,5412.2,219.6,14.7,234.3
1,0.001,2.84,2.4,0.2,0,2,4756.3,458.6,5214.9,205.9,19.9,225.8
2,0.001,2.84,2.4,0.2,0,1,4440.6,591.6,5032.2,192.2,25.6,217.8
3,0.001,2.84,2.4,0.2,0,0,4127.0,728,4855,178.7,31.5,210.2
4,0.001,2.84,2.4,0.2,0,-1,3816.3,863,4679.4,165.2,37.4,202.6
5,0.001,2.84,2.4,0.2,0,-2,3509.5,993.7,4503.2,151.9,43.0,194.9
6,0.001,2.84,2.4,0.2,0,-3,3207.1,1109.4,4316.5,138.8,48.0,186.9
7,0.001,2.84,2.4,0.2,200,3,5017.5,406.3,5423.8,217.2,17.6,234.8
8,0.001,2.84,2.4,0.2,200,2,4702.3,540.9,5243.2,203.6,23.4,227.0
9,0.001,2.84,2.4,0.2,200,1,4387.6,682.6,5070.2,189.9,29.5,219.5
10,0.001,2.84,2.4,0.2,200,0,4075.4,826.9,4902.2,176.4,35.8,212.2
11,0.001,2.84,2.4,0.2,200,-1,3765.8,972.1,4737.9,163.0,42.1,205.1
12,0.001,2.84,2.4,0.2,200,-2,3460.1,1111.9,4572.1,149.8,48.1,197.9
13,0.001,2.84,2.4,0.2,200,-3,3159.5,1235.3,4394.8,136.8,53.5,190.3
14,0.001,2.84,2.4,0.2,400,3,4922.5,543.2,5465.7,213.1,23.5,236.6
15,0.001,2.84,2.4,0.2,400,2,4609.0,686.5,5295.5,199.5,29.7,229.2
16,0.001,2.84,2.4,0.2,400,1,4296.2,834.7,5130.9,186.0,36.1,222.1
17,0.001,2.84,2.4,0.2,400,0,3985.6,987.4,4973,172.5,42.7,215.3
18,0.001,2.84,2.4,0.2,400,-1,3677.2,1137.3,4814.6,159.2,49.2,208.4
19,0.001,2.84,2.4,0.2,400,-2,3373.6,1278.4,4652,146.0,55.3,201.4
20,0.001,2.84,2.4,0.2,400,-3,3076.0,1399.7,4475.7,133.2,60.6,193.8
21,0.001,2.84,2.4,0.2,600,3,4797.9,733,5530.8,207.7,31.7,239.4
22,0.001,2.84,2.4,0.2,600,2,4488.9,884.7,5373.5,194.3,38.3,232.6
23,0.001,2.84,2.4,0.2,600,1,4179.6,1037.7,5217.3,180.9,44.9,225.9
24,0.001,2.84,2.4,0.2,600,0,3872.3,1190.8,5063.2,167.6,51.5,219.2
25,0.001,2.84,2.4,0.2,600,-1,3568.0,1342.1,4910.1,154.5,58.1,212.6
26,0.001,2.84,2.4,0.2,600,-2,3269.4,1486.6,4756,141.5,64.4,205.9
27,0.001,2.84,2.4,0.2,600,-3,2978.1,1610.8,4588.9,128.9,69.7,198.7
28,0.001,2.84,2.4,0.2,800,3,4701.1,846,5547.1,203.5,36.6,240.1
29,0.001,2.84,2.4,0.2,800,2,4394.9,998,5392.9,190.3,43.2,233.5
30,0.001,2.84,2.4,0.2,800,1,4089.6,1152.2,5241.7,177.0,49.9,226.9
31,0.001,2.84,2.4,0.2,800,0,3786.2,1307.6,5093.8,163.9,56.6,220.5
32,0.001,2.84,2.4,0.2,800,-1,3486.3,1463.3,4949.6,150.9,63.3,214.3
33,0.001,2.84,2.4,0.2,800,-2,3191.7,1606.9,4798.6,138.2,69.6,207.7
34,0.001,2.84,2.4,0.2,800,-3,2903.0,1731.6,4634.6,125.7,75.0,200.6
35,0.001,2.84,2.4,0.2,1000,3,4696.7,846.6,5543.2,203.3,36.6,240.0
36,0.001,2.84,2.4,0.2,1000,2,4390.7,998.6,5389.3,190.1,43.2,233.3
37,0.001,2.84,2.4,0.2,1000,1,4085.3,1152.7,5238.1,176.9,49.9,226.8
38,0.001,2.84,2.4,0.2,1000,0,3782.0,1308.2,5090.2,163.7,56.6,220.4
39,0.001,2.84,2.4,0.2,1000,-1,3482.3,1463.9,4946.3,150.7,63.4,214.1
40,0.001,2.84,2.4,0.2,1000,-2,3187.9,1607.5,4795.4,138.0,69.6,207.6
41,0.001,2.84,2.4,0.2,1000,-3,2899.5,1732.2,4631.7,125.5,75.0,200.5
42,0.001,2.84,2.4,0.32,0,3,5028.5,388,5416.6,217.7,16.8,234.5
43,0.001,2.84,2.4,0.32,0,2,4713.9,515,5228.9,204.1,22.3,226.4
44,0.001,2.84,2.4,0.32,0,1,4399.4,652.4,5051.9,190.5,28.2,218.7
45,0.001,2.84,2.4,0.32,0,0,4087.0,790.5,4877.5,176.9,34.2,211.1
46,0.001,2.84,2.4,0.32,0,-1,3777.3,929.1,4706.3,163.5,40.2,203.7
47,0.001,2.84,2.4,0.32,0,-2,3471.6,1062.2,4533.8,150.3,46.0,196.3
48,0.001,2.84,2.4,0.32,0,-3,3170.9,1180.4,4351.4,137.3,51.1,188.4
49,0.001,2.84,2.4,0.32,200,3,4868.2,550.2,5418.4,210.7,23.8,234.6
50,0.001,2.84,2.4,0.32,200,2,4555.4,698.8,5254.2,197.2,30.3,227.5
51,0.001,2.84,2.4,0.32,200,1,4244.4,852.6,5096.9,183.7,36.9,220.6
52,0.001,2.84,2.4,0.32,200,0,3935.6,1012.2,4947.8,170.4,43.8,214.2
53,0.001,2.84,2.4,0.32,200,-1,3629.2,1172.2,4801.4,157.1,50.7,207.9
54,0.001,2.84,2.4,0.32,200,-2,3327.4,1320.5,4647.9,144.0,57.2,201.2
55,0.001,2.84,2.4,0.32,200,-3,3032.2,1446.4,4478.6,131.3,62.6,193.9
56,0.001,2.84,2.4,0.32,400,3,4704.3,820.2,5524.5,203.7,35.5,239.2
57,0.001,2.84,2.4,0.32,400,2,4395.3,981.9,5377.2,190.3,42.5,232.8
58,0.001,2.84,2.4,0.32,400,1,4087.8,1153.1,5241,177.0,49.9,226.9
59,0.001,2.84,2.4,0.32,400,0,3781.6,1322.5,5104,163.7,57.3,221.0
60,0.001,2.84,2.4,0.32,400,-1,3478.8,1484.8,4963.6,150.6,64.3,214.9
61,0.001,2.84,2.4,0.32,400,-2,3181.6,1629.6,4811.2,137.7,70.5,208.3
62,0.001,2.84,2.4,0.32,400,-3,2891.3,1753.7,4645.1,125.2,75.9,201.1
63,0.001,2.84,2.4,0.32,600,3,4507.2,1177.7,5684.9,195.1,51.0,246.1
64,0.001,2.84,2.4,0.32,600,2,4204.1,1347.4,5551.4,182.0,58.3,240.3
65,0.001,2.84,2.4,0.32,600,1,3902.0,1530.8,5432.8,168.9,66.3,235.2
66,0.001,2.84,2.4,0.32,600,0,3603.0,1706.4,5309.4,156.0,73.9,229.8
67,0.001,2.84,2.4,0.32,600,-1,3308.1,1870.6,5178.7,143.2,81.0,224.2
68,0.001,2.84,2.4,0.32,600,-2,3019.5,2014.9,5034.4,130.7,87.2,217.9
69,0.001,2.84,2.4,0.32,600,-3,2736.7,2135.8,4872.5,118.5,92.5,210.9
70,0.001,2.84,2.4,0.32,800,3,4359.6,1374.5,5734.1,188.7,59.5,248.2
71,0.001,2.84,2.4,0.32,800,2,4061.8,1553.2,5615,175.8,67.2,243.1
72,0.001,2.84,2.4,0.32,800,1,3766.7,1736.9,5503.6,163.1,75.2,238.3
73,0.001,2.84,2.4,0.32,800,0,3473.3,1911.2,5384.5,150.4,82.7,233.1
74,0.001,2.84,2.4,0.32,800,-1,3184.6,2074.9,5259.6,137.9,89.8,227.7
75,0.001,2.84,2.4,0.32,800,-2,2903.3,2219.5,5122.8,125.7,96.1,221.8
76,0.001,2.84,2.4,0.32,800,-3,2628.6,2341,4969.6,113.8,101.3,215.1
77,0.001,2.84,2.4,0.32,1000,3,4352.6,1375.6,5728.2,188.4,59.5,248.0
78,0.001,2.84,2.4,0.32,1000,2,4055.1,1554.2,5609.2,175.5,67.3,242.8
79,0.001,2.84,2.4,0.32,1000,1,3760.6,1737.9,5498.5,162.8,75.2,238.0
80,0.001,2.84,2.4,0.32,1000,0,3467.3,1912.2,5379.5,150.1,82.8,232.9
81,0.001,2.84,2.4,0.32,1000,-1,3178.9,2076,5254.8,137.6,89.9,227.5
82,0.001,2.84,2.4,0.32,1000,-2,2897.5,2220.5,5118.1,125.4,96.1,221.6
83,0.001,2.84,2.4,0.32,1000,-3,2623.8,2342,4965.8,113.6,101.4,215.0
84,0.001,2.84,2.4,0.44,0,3,4992.8,431.7,5424.5,216.1,18.7,234.8
85,0.001,2.84,2.4,0.44,0,2,4678.9,563.2,5242.1,202.5,24.4,226.9
86,0.001,2.84,2.4,0.44,0,1,4365.5,703.2,5068.7,189.0,30.4,219.4
87,0.001,2.84,2.4,0.44,0,0,4054.0,843.3,4897.3,175.5,36.5,212.0
88,0.001,2.84,2.4,0.44,0,-1,3745.0,985.2,4730.2,162.1,42.6,204.8
89,0.001,2.84,2.4,0.44,0,-2,3440.2,1119.2,4559.4,148.9,48.5,197.4
90,0.001,2.84,2.4,0.44,0,-3,3141.4,1240,4381.4,136.0,53.7,189.7
91,0.001,2.84,2.4,0.44,200,3,4732.1,699.7,5431.9,204.9,30.3,235.1
92,0.001,2.84,2.4,0.44,200,2,4422.8,859.7,5282.5,191.5,37.2,228.7
93,0.001,2.84,2.4,0.44,200,1,4115.0,1029,5144,178.1,44.5,222.7
94,0.001,2.84,2.4,0.44,200,0,3809.0,1204.8,5013.8,164.9,52.2,217.0
95,0.001,2.84,2.4,0.44,200,-1,3505.4,1374,4879.4,151.7,59.5,211.2
96,0.001,2.84,2.4,0.44,200,-2,3208.4,1523.9,4732.3,138.9,66.0,204.9
97,0.001,2.84,2.4,0.44,200,-3,2916.7,1650.7,4567.4,126.3,71.5,197.7
98,0.001,2.84,2.4,0.44,400,3,4506.4,1120.5,5626.8,195.1,48.5,243.6
99,0.001,2.84,2.4,0.44,400,2,4202.0,1306.2,5508.2,181.9,56.5,238.5
100,0.001,2.84,2.4,0.44,400,1,3898.2,1490.6,5388.9,168.8,64.5,233.3
101,0.001,2.84,2.4,0.44,400,0,3597.7,1669.7,5267.4,155.7,72.3,228.0
102,0.001,2.84,2.4,0.44,400,-1,3300.9,1838.8,5139.7,142.9,79.6,222.5
103,0.001,2.84,2.4,0.44,400,-2,3010.2,1985.3,4995.4,130.3,85.9,216.3
104,0.001,2.84,2.4,0.44,400,-3,2725.8,2106.7,4832.5,118.0,91.2,209.2
105,0.001,2.84,2.4,0.44,600,3,4245.5,1671,5916.5,183.8,72.3,256.1
106,0.001,2.84,2.4,0.44,600,2,3949.6,1869,5818.5,171.0,80.9,251.9
107,0.001,2.84,2.4,0.44,600,1,3655.4,2059.7,5715.2,158.2,89.2,247.4
108,0.001,2.84,2.4,0.44,600,0,3364.5,2238,5602.5,145.6,96.9,242.5
109,0.001,2.84,2.4,0.44,600,-1,3078.2,2398.2,5476.3,133.3,103.8,237.1
110,0.001,2.84,2.4,0.44,600,-2,2797.2,2537.3,5334.5,121.1,109.8,230.9
111,0.001,2.84,2.4,0.44,600,-3,2524.2,2652.2,5176.4,109.3,114.8,224.1
112,0.001,2.84,2.4,0.44,800,3,4058.0,1963.6,6021.5,175.7,85.0,260.7
113,0.001,2.84,2.4,0.44,800,2,3770.0,2162.7,5932.6,163.2,93.6,256.8
114,0.001,2.84,2.4,0.44,800,1,3484.4,2351.6,5836,150.8,101.8,252.6
115,0.001,2.84,2.4,0.44,800,0,3203.0,2530,5733,138.7,109.5,248.2
116,0.001,2.84,2.4,0.44,800,-1,2927.5,2689.4,5616.8,126.7,116.4,243.2
117,0.001,2.84,2.4,0.44,800,-2,2659.3,2826.4,5485.7,115.1,122.4,237.5
118,0.001,2.84,2.4,0.44,800,-3,2400.4,2940.8,5341.2,103.9,127.3,231.2
119,0.001,2.84,2.4,0.44,1000,3,4049.8,1965.1,6014.9,175.3,85.1,260.4
120,0.001,2.84,2.4,0.44,1000,2,3762.0,2164.2,5926.1,162.9,93.7,256.5
121,0.001,2.84,2.4,0.44,1000,1,3476.6,2353.1,5829.7,150.5,101.9,252.4
122,0.001,2.84,2.4,0.44,1000,0,3195.6,2531.4,5727,138.3,109.6,247.9
123,0.001,2.84,2.4,0.44,1000,-1,2921.4,2690.8,5612.2,126.5,116.5,243.0
124,0.001,2.84,2.4,0.44,1000,-2,2654.1,2827.8,5481.9,114.9,122.4,237.3
125,0.001,2.84,2.4,0.44,1000,-3,2395.6,2942.2,5337.8,103.7,127.4,231.1
126,0.001,2.84,2.4,0.56,0,3,4962.3,469.9,5432.2,214.8,20.3,235.2
127,0.001,2.84,2.4,0.56,0,2,4649.2,605.2,5254.4,201.3,26.2,227.5
128,0.001,2.84,2.4,0.56,0,1,4336.6,747.1,5083.6,187.7,32.3,220.1
129,0.001,2.84,2.4,0.56,0,0,4025.7,889.3,4915.1,174.3,38.5,212.8
130,0.001,2.84,2.4,0.56,0,-1,3717.4,1033.7,4751,160.9,44.7,205.7
131,0.001,2.84,2.4,0.56,0,-2,3413.4,1168.9,4582.3,147.8,50.6,198.4
132,0.001,2.84,2.4,0.56,0,-3,3116.1,1291.3,4407.4,134.9,55.9,190.8
133,0.001,2.84,2.4,0.56,200,3,4611.8,844.6,5456.4,199.6,36.6,236.2
134,0.001,2.84,2.4,0.56,200,2,4305.6,1019.2,5324.8,186.4,44.1,230.5
135,0.001,2.84,2.4,0.56,200,1,4000.3,1205.7,5206,173.2,52.2,225.4
136,0.001,2.84,2.4,0.56,200,0,3696.7,1391.6,5088.3,160.0,60.2,220.3
137,0.001,2.84,2.4,0.56,200,-1,3397.3,1563.2,4960.5,147.1,67.7,214.7
138,0.001,2.84,2.4,0.56,200,-2,3102.9,1715.3,4818.2,134.3,74.3,208.6
139,0.001,2.84,2.4,0.56,200,-3,2815.1,1845.3,4660.5,121.9,79.9,201.8
140,0.001,2.84,2.4,0.56,400,3,4330.3,1426.6,5756.8,187.5,61.8,249.2
141,0.001,2.84,2.4,0.56,400,2,4030.1,1623.3,5653.4,174.5,70.3,244.7
142,0.001,2.84,2.4,0.56,400,1,3732.0,1819.9,5551.9,161.6,78.8,240.3
143,0.001,2.84,2.4,0.56,400,0,3436.4,2011.2,5447.6,148.8,87.1,235.8
144,0.001,2.84,2.4,0.56,400,-1,3144.4,2180.6,5325.1,136.1,94.4,230.5
145,0.001,2.84,2.4,0.56,400,-2,2859.3,2324.2,5183.4,123.8,100.6,224.4
146,0.001,2.84,2.4,0.56,400,-3,2581.1,2441.8,5023,111.7,105.7,217.4
147,0.001,2.84,2.4,0.56,600,3,4013.1,2171,6184.1,173.7,94.0,267.7
148,0.001,2.84,2.4,0.56,600,2,3724.1,2373.8,6097.9,161.2,102.8,264.0
149,0.001,2.84,2.4,0.56,600,1,3437.5,2566.8,6004.3,148.8,111.1,259.9
150,0.001,2.84,2.4,0.56,600,0,3154.0,2744.8,5898.8,136.5,118.8,255.4
151,0.001,2.84,2.4,0.56,600,-1,2874.9,2902.2,5777,124.5,125.6,250.1
152,0.001,2.84,2.4,0.56,600,-2,2603.2,3034.2,5637.4,112.7,131.4,244.0
153,0.001,2.84,2.4,0.56,600,-3,2342.2,3143.5,5485.6,101.4,136.1,237.5
154,0.001,2.84,2.4,0.56,800,3,3793.3,2559.5,6352.8,164.2,110.8,275.0
155,0.001,2.84,2.4,0.56,800,2,3515.9,2761.6,6277.6,152.2,119.5,271.8
156,0.001,2.84,2.4,0.56,800,1,3241.8,2952.7,6194.5,140.3,127.8,268.2
157,0.001,2.84,2.4,0.56,800,0,2973.7,3128.9,6102.6,128.7,135.5,264.2
158,0.001,2.84,2.4,0.56,800,-1,2708.6,3284.7,5993.3,117.3,142.2,259.5
159,0.001,2.84,2.4,0.56,800,-2,2453.0,3415.2,5868.1,106.2,147.8,254.0
160,0.001,2.84,2.4,0.56,800,-3,2208.7,3522.7,5731.4,95.6,152.5,248.1
161,0.001,2.84,2.4,0.56,1000,3,3783.7,2561.5,6345.2,163.8,110.9,274.7
162,0.001,2.84,2.4,0.56,1000,2,3507.1,2763.5,6270.6,151.8,119.6,271.5
163,0.001,2.84,2.4,0.56,1000,1,3234.2,2954.6,6188.8,140.0,127.9,267.9
164,0.001,2.84,2.4,0.56,1000,0,2967.2,3130.9,6098,128.4,135.5,264.0
165,0.001,2.84,2.4,0.56,1000,-1,2702.8,3286.6,5989.4,117.0,142.3,259.3
166,0.001,2.84,2.4,0.56,1000,-2,2448.2,3417,5865.2,106.0,147.9,253.9
167,0.001,2.84,2.4,0.56,1000,-3,2204.1,3524.6,5728.7,95.4,152.6,248.0
168,0.001,2.84,2.4,0.68,0,3,4935.2,504.1,5439.3,213.6,21.8,235.5
169,0.001,2.84,2.4,0.68,0,2,4622.8,643.2,5266,200.1,27.8,228.0
170,0.001,2.84,2.4,0.68,0,1,4310.9,786.6,5097.6,186.6,34.1,220.7
171,0.001,2.84,2.4,0.68,0,0,4000.7,931,4931.7,173.2,40.3,213.5
172,0.001,2.84,2.4,0.68,0,-1,3692.8,1076.9,4769.7,159.9,46.6,206.5
173,0.001,2.84,2.4,0.68,0,-2,3389.8,1214,4603.8,146.7,52.6,199.3
174,0.001,2.84,2.4,0.68,0,-3,3093.7,1337.6,4431.3,133.9,57.9,191.8
175,0.001,2.84,2.4,0.68,200,3,4498.9,999.4,5498.3,194.8,43.3,238.0
176,0.001,2.84,2.4,0.68,200,2,4195.2,1192.8,5388,181.6,51.6,233.2
177,0.001,2.84,2.4,0.68,200,1,3892.4,1390.4,5282.8,168.5,60.2,228.7
178,0.001,2.84,2.4,0.68,200,0,3591.5,1578.6,5170.1,155.5,68.3,223.8
179,0.001,2.84,2.4,0.68,200,-1,3295.7,1752.2,5048,142.7,75.9,218.5
180,0.001,2.84,2.4,0.68,200,-2,3003.7,1908.2,4911.9,130.0,82.6,212.6
